number,name,about,okruh,
118,Старостяк Іван Євстахійович,,№ 10 Рогатинський район (Черченський в,о. № 111)
119,Степаняк Роман Володимирович,,№ 13 Тисменицький район (Лисецький в.о. № 128),
120,Стецик Ігор Миколайович,,№8 Косівський район (Яворівський в.о. № 94),
121,Стецюк Мирослав Дмитрович,,№1 Богородчанський район (Росільнянський в. о. № 39),
122,Сурак Тадей Дмитрович,,№ 13 Тисменицький район (Старокривотульський в.о. № 132),
123,Сухоребський Михайло Дмитрович,,№3 Галицький район (Більшівцівський в.о. № 47),
124,Тимчук Марта Миколаївна,,№8 Косівський район (Тюдівський в.о. № 93),
125,Тофан Михайло Васильович,,№ 10 Рогатинський район (Княгиницький в.о.№ 109),
126,Турелик Галина Зіновіївна,,№3 Галицький район (Бурштинський в. о. № 49),
127,Уштан Василь Іванович,,№ 17 м. Калуш (Калуський в.о. № 23),
128,Ферлей Дарія Дмитрівна,,№ 18 м. Коломия (Коломийський в.о. № 28),
129,Фіцич Степан Андрійович,,№ 11 Рожнятівський район (Небилівський в.о. № 116),
130,Ходак Володимир Федорович,,№ 4 Городенківський район (Чернелицький в.о. № 59),
131,Чир Нестор Іванович,,№9 Надвірнянський район (Ланчинський в.о. № 99),
132,Чупірчук Богдан Васильович,,№8 Косівський район (Нижньоберезівський в.о.№ 90),
133,Чучук Маркіян Євгенович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 5),
134,Шевчук Роман Михайлович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 1),
135,Шевчук Ярослав Михайлович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 7),
136,Шлемко Володимир Теофілович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 14),
137,Шмігельський Роман Олександрович,,№ 6 Калуський район (Боднарівський в.о. № 70),
138,Шпак Зіновій Васильович,,№ 4 Городенківський район (Торговицький в.о. № 58),
139,Яковина Микола Михайлович,,№ 11 Рожнятівський район (Брошнівський в.о. № 113),
140,Янковський Степан Степановичі,,№ 5 Долинський район (Долинський в.о. № 60),
